% Moku:BodeAnalyzer
% Ch 1 - DC coupling, 50 Ohm impedance, 20 dB attenuation, output load 50 Ohm, amplitude 100 mVpp
% Ch 2 - DC coupling, 50 Ohm impedance, 20 dB attenuation, output load 50 Ohm, amplitude 20 mVpp
% Logarithmic sweep, calibration off
% Averaging time 2.000 ms, 4 cycles; Settling time 2.000 ms, 1 cycles
% Internal 10 MHz clock
% Acquired 2019-02-08 T 14:47:01 +0900
% Frequency (Hz), Magnitude 1 (dB), Phase 1 (deg), Magnitude 2 (dB), Phase 2 (deg), Math (Ch 1 / Ch 2) magnitude (dB), Math (Ch 1 / Ch 2) phase (deg)
2.172722e+04, -2.731466e+01, 1.786389e+02, 1.401985e+01, 1.745449e+02, -4.133451e+01, 4.094035e+00
2.105602e+04, -2.698832e+01, -1.798980e+02, 1.402596e+01, 1.747642e+02, -4.101428e+01, 5.337770e+00
2.040555e+04, -2.690163e+01, 1.792124e+02, 1.403570e+01, 1.748998e+02, -4.093734e+01, 4.312653e+00
1.977517e+04, -2.642764e+01, 1.790286e+02, 1.403716e+01, 1.749868e+02, -4.046480e+01, 4.041814e+00
1.916427e+04, -2.558008e+01, 1.786981e+02, 1.405689e+01, 1.751675e+02, -3.963698e+01, 3.530661e+00
1.857224e+04, -2.594986e+01, 1.760229e+02, 1.404910e+01, 1.752360e+02, -3.999896e+01, 7.869368e-01
1.799850e+04, -2.485667e+01, 1.747061e+02, 1.407555e+01, 1.753289e+02, -3.893222e+01, -6.228427e-01
1.744249e+04, -2.395366e+01, 1.754445e+02, 1.409962e+01, 1.755046e+02, -3.805329e+01, -6.003568e-02
1.690365e+04, -2.310012e+01, -1.776920e+02, 1.412689e+01, 1.758717e+02, -3.722701e+01, 6.436382e+00
1.638146e+04, -2.344092e+01, -1.781911e+02, 1.412538e+01, 1.759742e+02, -3.756630e+01, 5.834626e+00
1.587539e+04, -2.247542e+01, -1.784976e+02, 1.416004e+01, 1.760785e+02, -3.663546e+01, 5.423954e+00
1.538497e+04, -2.198857e+01, -1.737110e+02, 1.418000e+01, 1.763940e+02, -3.616857e+01, 9.894994e+00
1.490969e+04, -2.149375e+01, -1.721970e+02, 1.419990e+01, 1.765680e+02, -3.569364e+01, 1.123497e+01
1.444909e+04, -2.114658e+01, -1.709333e+02, 1.420580e+01, 1.767873e+02, -3.535238e+01, 1.227948e+01
1.400273e+04, -2.084440e+01, -1.697116e+02, 1.422169e+01, 1.769823e+02, -3.506609e+01, 1.330607e+01
1.357015e+04, -2.016699e+01, -1.683320e+02, 1.423595e+01, 1.771472e+02, -3.440294e+01, 1.452078e+01
1.315094e+04, -1.990459e+01, -1.675317e+02, 1.424053e+01, 1.773154e+02, -3.414512e+01, 1.515283e+01
1.274467e+04, -1.989432e+01, -1.679463e+02, 1.425877e+01, 1.774410e+02, -3.415310e+01, 1.461273e+01
1.235096e+04, -1.965529e+01, -1.661610e+02, 1.427536e+01, 1.776121e+02, -3.393065e+01, 1.622685e+01
1.196941e+04, -1.903066e+01, -1.666576e+02, 1.429663e+01, 1.777522e+02, -3.332729e+01, 1.559022e+01
1.159965e+04, -1.878437e+01, -1.650098e+02, 1.430584e+01, 1.779400e+02, -3.309021e+01, 1.705026e+01
1.124131e+04, -1.787567e+01, -1.660179e+02, 1.434900e+01, 1.780061e+02, -3.222467e+01, 1.597599e+01
1.089404e+04, -1.672690e+01, -1.707192e+02, 1.444522e+01, 1.779015e+02, -3.117212e+01, 1.137921e+01
1.055750e+04, -1.583110e+01, -1.636313e+02, 1.451862e+01, 1.785748e+02, -3.034972e+01, 1.779387e+01
1.023135e+04, -1.566605e+01, -1.613563e+02, 1.453213e+01, 1.787648e+02, -3.019818e+01, 1.987884e+01
9.915281e+03, -1.540444e+01, -1.626435e+02, 1.454691e+01, 1.788493e+02, -2.995135e+01, 1.850720e+01
