% Moku:BodeAnalyzer
% Ch 1 - DC coupling, 50 Ohm impedance, 20 dB attenuation, output load 1 MOhm, amplitude 200 mVpp
% Ch 2 - DC coupling, 50 Ohm impedance, 20 dB attenuation, output load 1 MOhm, amplitude 100 mVpp
% Logarithmic sweep, calibration off
% Averaging time 2.000 ms, 4 cycles; Settling time 2.000 ms, 1 cycles
% Internal 10 MHz clock
% Acquired 2019-02-04 T 16:23:02 +0900
% Frequency (Hz), Magnitude 1 (dB), Phase 1 (deg), Magnitude 2 (dB), Phase 2 (deg), Math (Ch 1 / Ch 2) magnitude (dB), Math (Ch 1 / Ch 2) phase (deg)
2.455720e+03, -1.481484e+01, -1.114070e+02, 5.600235e-01, -1.714954e+02, -1.537487e+01, 6.008839e+01
2.403266e+03, -1.471547e+01, -1.108623e+02, 5.573892e-01, -1.713322e+02, -1.527286e+01, 6.046986e+01
2.351933e+03, -1.393708e+01, -1.082160e+02, 5.564170e-01, -1.703424e+02, -1.449350e+01, 6.212640e+01
2.301696e+03, -1.433764e+01, -1.077405e+02, 5.463740e-01, -1.708828e+02, -1.488401e+01, 6.314225e+01
2.252533e+03, -1.337616e+01, -1.104615e+02, 7.658356e-01, -1.702151e+02, -1.414200e+01, 5.975361e+01
2.204419e+03, -1.367945e+01, -1.087725e+02, 7.391594e-01, -1.701740e+02, -1.441861e+01, 6.140148e+01
2.157333e+03, -1.323651e+01, -1.075996e+02, 7.543601e-01, -1.695346e+02, -1.399087e+01, 6.193498e+01
2.111253e+03, -1.288706e+01, -1.051758e+02, 6.920012e-01, -1.688925e+02, -1.357906e+01, 6.371662e+01
2.066157e+03, -1.288612e+01, -1.034168e+02, 6.191588e-01, -1.687639e+02, -1.350528e+01, 6.534715e+01
2.022024e+03, -1.264826e+01, -1.020810e+02, 5.774223e-01, -1.683796e+02, -1.322568e+01, 6.629859e+01
1.978834e+03, -1.258015e+01, -1.009138e+02, 5.095349e-01, -1.681217e+02, -1.308969e+01, 6.720793e+01
1.936567e+03, -1.245935e+01, -1.021802e+02, 5.316398e-01, -1.679219e+02, -1.299099e+01, 6.574169e+01
1.895202e+03, -1.233884e+01, -1.018345e+02, 5.219494e-01, -1.676972e+02, -1.286079e+01, 6.586265e+01
1.854721e+03, -1.228500e+01, -1.021309e+02, 5.478891e-01, -1.677639e+02, -1.283289e+01, 6.563309e+01
1.815105e+03, -1.206353e+01, -1.016967e+02, 5.641611e-01, -1.674298e+02, -1.262769e+01, 6.573302e+01
1.776334e+03, -1.188933e+01, -1.035204e+02, 6.411863e-01, -1.672823e+02, -1.253052e+01, 6.376184e+01
1.738392e+03, -1.141851e+01, -1.050317e+02, 7.315469e-01, -1.668149e+02, -1.215005e+01, 6.178322e+01
1.701261e+03, -1.103345e+01, -1.068147e+02, 8.499825e-01, -1.666317e+02, -1.188343e+01, 5.981699e+01
1.664922e+03, -9.197916e+00, -1.091531e+02, 1.238992e+00, -1.640650e+02, -1.043691e+01, 5.491191e+01
1.629360e+03, -8.130971e+00, -9.413050e+01, 7.663896e-01, -1.597809e+02, -8.897361e+00, 6.565037e+01
1.594557e+03, -1.063626e+01, -8.793483e+01, 2.470906e-01, -1.641358e+02, -1.088336e+01, 7.620098e+01
1.560498e+03, -9.270363e+00, -9.223206e+01, 5.666837e-01, -1.617930e+02, -9.837046e+00, 6.956090e+01
1.527166e+03, -9.460254e+00, -9.356473e+01, 6.067630e-01, -1.623321e+02, -1.006702e+01, 6.876736e+01
1.494546e+03, -9.212429e+00, -9.243564e+01, 5.486913e-01, -1.617779e+02, -9.761120e+00, 6.934226e+01
1.462623e+03, -9.201304e+00, -9.049071e+01, 4.155296e-01, -1.612868e+02, -9.616834e+00, 7.079608e+01
1.431381e+03, -9.030245e+00, -8.877935e+01, 3.553197e-01, -1.605497e+02, -9.385565e+00, 7.177039e+01
1.400807e+03, -9.094780e+00, -8.770981e+01, 3.043606e-01, -1.604199e+02, -9.399140e+00, 7.271014e+01
1.370886e+03, -8.945244e+00, -8.674044e+01, 2.655307e-01, -1.600430e+02, -9.210774e+00, 7.330257e+01
1.341605e+03, -8.886093e+00, -8.493164e+01, 1.723338e-01, -1.600606e+02, -9.058427e+00, 7.512893e+01
1.312948e+03, -8.516517e+00, -8.616353e+01, 3.022831e-01, -1.594548e+02, -8.818800e+00, 7.329125e+01
1.284904e+03, -8.283648e+00, -8.430065e+01, 2.399924e-01, -1.586841e+02, -8.523641e+00, 7.438341e+01
1.257459e+03, -8.130661e+00, -8.405970e+01, 2.599085e-01, -1.583877e+02, -8.390570e+00, 7.432801e+01
1.230600e+03, -8.001760e+00, -8.408095e+01, 2.816217e-01, -1.580294e+02, -8.283382e+00, 7.394845e+01
1.204314e+03, -7.928473e+00, -8.067295e+01, 2.593515e-02, -1.573814e+02, -7.954408e+00, 7.670843e+01
1.178590e+03, -7.710023e+00, -8.213299e+01, 1.439996e-01, -1.566797e+02, -7.854022e+00, 7.454668e+01
1.153416e+03, -7.852599e+00, -8.088322e+01, 5.553732e-02, -1.566344e+02, -7.908137e+00, 7.575121e+01
1.128779e+03, -7.731905e+00, -7.925670e+01, -3.349095e-02, -1.562064e+02, -7.698414e+00, 7.694968e+01
1.104669e+03, -7.666578e+00, -8.031349e+01, 5.150437e-02, -1.560716e+02, -7.718083e+00, 7.575815e+01
1.081073e+03, -7.474651e+00, -7.760972e+01, -1.054681e-01, -1.557875e+02, -7.369183e+00, 7.817777e+01
1.057982e+03, -7.216303e+00, -7.563000e+01, -1.456229e-01, -1.550937e+02, -7.070680e+00, 7.946375e+01
1.035384e+03, -6.796033e+00, -7.624945e+01, -2.789110e-02, -1.539092e+02, -6.768142e+00, 7.765971e+01
1.013268e+03, -6.655854e+00, -7.828965e+01, 1.186855e-01, -1.536541e+02, -6.774539e+00, 7.536447e+01
9.916248e+02, -6.550523e+00, -7.724950e+01, -1.949555e-02, -1.531251e+02, -6.531027e+00, 7.587565e+01
9.704439e+02, -6.496630e+00, -7.607297e+01, -1.213184e-01, -1.524555e+02, -6.375312e+00, 7.638252e+01
9.497154e+02, -6.378094e+00, -7.383261e+01, -2.565898e-01, -1.517593e+02, -6.121504e+00, 7.792673e+01
9.294297e+02, -6.450048e+00, -7.388491e+01, -2.678912e-01, -1.520358e+02, -6.182157e+00, 7.815085e+01
9.095773e+02, -5.865591e+00, -7.325879e+01, -2.412315e-01, -1.505454e+02, -5.624359e+00, 7.728664e+01
8.901489e+02, -5.712046e+00, -7.046182e+01, -4.484438e-01, -1.497589e+02, -5.263602e+00, 7.929712e+01
8.711355e+02, -5.661846e+00, -6.977387e+01, -5.018158e-01, -1.493522e+02, -5.160030e+00, 7.957836e+01
8.525283e+02, -5.314140e+00, -6.867407e+01, -5.513238e-01, -1.477594e+02, -4.762817e+00, 7.908531e+01
8.343185e+02, -5.576057e+00, -6.796044e+01, -6.289750e-01, -1.485064e+02, -4.947082e+00, 8.054597e+01
8.164976e+02, -5.383409e+00, -6.729509e+01, -6.869965e-01, -1.477351e+02, -4.696412e+00, 8.044003e+01
7.990574e+02, -5.232647e+00, -6.665320e+01, -7.184573e-01, -1.470815e+02, -4.514189e+00, 8.042834e+01
7.819897e+02, -5.057133e+00, -6.596676e+01, -7.555398e-01, -1.463566e+02, -4.301593e+00, 8.038982e+01
7.652866e+02, -4.989672e+00, -6.510649e+01, -8.368217e-01, -1.459585e+02, -4.152851e+00, 8.085199e+01
7.489402e+02, -4.645375e+00, -6.420116e+01, -8.969521e-01, -1.446261e+02, -3.748423e+00, 8.042491e+01
7.329430e+02, -4.646486e+00, -6.377374e+01, -9.115183e-01, -1.448018e+02, -3.734968e+00, 8.102805e+01
7.172875e+02, -4.749602e+00, -6.357181e+01, -9.499683e-01, -1.449974e+02, -3.799634e+00, 8.142556e+01
7.019664e+02, -4.394790e+00, -5.948547e+01, -1.339435e+00, -1.428317e+02, -3.055355e+00, 8.334624e+01
6.869726e+02, -4.431864e+00, -6.021084e+01, -1.271785e+00, -1.430497e+02, -3.160078e+00, 8.283891e+01
6.722990e+02, -4.258370e+00, -5.999870e+01, -1.289254e+00, -1.421333e+02, -2.969117e+00, 8.213457e+01
6.579388e+02, -4.271935e+00, -5.919162e+01, -1.368191e+00, -1.421755e+02, -2.903744e+00, 8.298386e+01
6.438854e+02, -4.196471e+00, -5.798585e+01, -1.476625e+00, -1.417891e+02, -2.719846e+00, 8.380324e+01
6.301321e+02, -3.883386e+00, -5.633588e+01, -1.633414e+00, -1.402547e+02, -2.249972e+00, 8.391881e+01
6.166727e+02, -3.983768e+00, -5.594223e+01, -1.697386e+00, -1.407898e+02, -2.286382e+00, 8.484754e+01
6.035007e+02, -3.666840e+00, -5.485276e+01, -1.806826e+00, -1.389191e+02, -1.860014e+00, 8.406634e+01
5.906100e+02, -3.522019e+00, -5.565882e+01, -1.717107e+00, -1.381163e+02, -1.804912e+00, 8.245749e+01
5.779947e+02, -3.578809e+00, -5.365055e+01, -1.939224e+00, -1.383257e+02, -1.639585e+00, 8.467514e+01
5.656489e+02, -3.012482e+00, -5.329869e+01, -1.930507e+00, -1.353797e+02, -1.081975e+00, 8.208101e+01
5.535668e+02, -3.224750e+00, -5.344132e+01, -1.926080e+00, -1.365959e+02, -1.298670e+00, 8.315461e+01
5.417427e+02, -3.574091e+00, -4.957793e+01, -2.474583e+00, -1.380306e+02, -1.099508e+00, 8.845270e+01
5.301712e+02, -3.257988e+00, -5.207580e+01, -2.139172e+00, -1.362767e+02, -1.118816e+00, 8.420092e+01
5.188468e+02, -2.767624e+00, -4.999707e+01, -2.362851e+00, -1.333479e+02, -4.047740e-01, 8.335081e+01
5.077644e+02, -3.181762e+00, -4.970181e+01, -2.423844e+00, -1.358455e+02, -7.579184e-01, 8.614367e+01
4.969187e+02, -2.917777e+00, -4.933944e+01, -2.460300e+00, -1.342870e+02, -4.574772e-01, 8.494752e+01
4.863046e+02, -2.654206e+00, -4.931340e+01, -2.434976e+00, -1.325988e+02, -2.192300e-01, 8.328543e+01
4.759172e+02, -2.919200e+00, -4.677946e+01, -2.816042e+00, -1.341514e+02, -1.031578e-01, 8.737191e+01
4.657517e+02, -2.934494e+00, -4.751692e+01, -2.749137e+00, -1.340578e+02, -1.853570e-01, 8.654083e+01
