% Moku:SpectrumAnalyzer
% Ch 1 - DC coupling, 50 Ohm impedance, 20 dB attenuation
% Ch 2 - DC coupling, 50 Ohm impedance, 20 dB attenuation
% Start freq 0 Hz, stop freq 1.00 kHz, RBW 1.569 Hz (Minimum mode), Hanning window, Video filter off, 32 averages
% Internal 10 MHz clock
% Acquired 2019-02-04 T 15:40:08 +0900
% Frequency (Hz), Ch 1 (V/rtHz), Ch 2 (V/rtHz)
1.170898e+02, 1.732232e-05, 4.147105e-06
1.181152e+02, 1.126989e-05, 4.424828e-06
1.191407e+02, 4.448564e-05, 5.047388e-06
1.201661e+02, 6.757907e-05, 4.403157e-06
1.211916e+02, 3.075504e-05, 4.363813e-06
1.222171e+02, 1.554166e-05, 4.405892e-06
1.232425e+02, 3.444255e-05, 4.956076e-06
1.242680e+02, 2.751258e-05, 4.576523e-06
1.252934e+02, 1.225434e-05, 4.200125e-06
1.263189e+02, 1.013743e-05, 4.304481e-06
1.273443e+02, 1.173780e-05, 4.004037e-06
1.283698e+02, 1.325494e-05, 3.814049e-06
1.293953e+02, 1.594522e-05, 4.086301e-06
1.304207e+02, 2.207941e-05, 4.582414e-06
1.314462e+02, 2.035577e-05, 4.790705e-06
1.324716e+02, 1.927719e-05, 4.782921e-06
1.334971e+02, 1.953819e-05, 5.029504e-06
1.345225e+02, 1.969961e-05, 4.775557e-06
1.355480e+02, 2.321795e-05, 4.682983e-06
1.365734e+02, 2.239240e-05, 4.764827e-06
1.375989e+02, 2.108070e-05, 4.656473e-06
1.386244e+02, 1.830259e-05, 4.476585e-06
1.396498e+02, 1.483602e-05, 4.710124e-06
1.406753e+02, 1.213464e-05, 4.494048e-06
1.417007e+02, 1.054098e-05, 4.917363e-06
1.427262e+02, 9.328436e-06, 4.819529e-06
1.437516e+02, 1.063657e-05, 4.714121e-06
1.447771e+02, 1.188182e-05, 4.832153e-06
1.458026e+02, 1.280359e-05, 5.048019e-06
1.468280e+02, 1.134179e-05, 5.290184e-06
1.478535e+02, 1.106339e-05, 4.586832e-06
1.488789e+02, 9.093643e-06, 4.004878e-06
1.499044e+02, 8.487581e-06, 4.133009e-06
1.509298e+02, 9.739116e-06, 3.801846e-06
1.519553e+02, 8.858220e-06, 3.544533e-06
1.529807e+02, 9.505370e-06, 4.246623e-06
1.540062e+02, 8.962200e-06, 4.544332e-06
1.550317e+02, 7.924915e-06, 3.646364e-06
1.560571e+02, 7.709408e-06, 3.370957e-06
1.570826e+02, 8.422175e-06, 3.788592e-06
1.581080e+02, 8.003529e-06, 4.069470e-06
