% Moku:SpectrumAnalyzer
% Ch 1 - DC coupling, 50 Ohm impedance, 20 dB attenuation
% Ch 2 - DC coupling, 50 Ohm impedance, 20 dB attenuation
% Start freq 0 Hz, stop freq 3.00 kHz, RBW 4.632 Hz (Minimum mode), Hanning window, Video filter off, 16 averages
% Internal 10 MHz clock
% Acquired 2019-02-08 T 14:53:32 +0900
% Frequency (Hz), Ch 1 (V/rtHz), Ch 2 (V/rtHz)
3.479000e+02, 3.425281e-05, 2.949027e-06
3.509275e+02, 3.836435e-05, 3.397410e-06
3.539551e+02, 3.750516e-05, 3.260574e-06
3.569826e+02, 3.978032e-05, 2.562261e-06
3.600101e+02, 3.859769e-05, 3.218697e-06
3.630377e+02, 2.426428e-05, 3.439821e-06
3.660652e+02, 1.384628e-05, 3.194691e-06
3.690927e+02, 2.891744e-05, 3.024247e-06
3.721203e+02, 3.277519e-05, 3.787377e-06
3.751478e+02, 3.137836e-05, 3.925546e-06
3.781754e+02, 2.777229e-05, 3.175753e-06
3.812029e+02, 3.531079e-05, 3.061590e-06
3.842304e+02, 2.521596e-05, 2.965565e-06
3.872580e+02, 1.914922e-05, 3.200826e-06
3.902855e+02, 1.703352e-05, 3.113603e-06
3.933130e+02, 2.938597e-05, 3.381672e-06
3.963406e+02, 3.347148e-05, 3.302985e-06
3.993681e+02, 3.128455e-05, 3.375537e-06
4.023957e+02, 4.035993e-05, 3.219764e-06
4.054232e+02, 4.093318e-05, 3.260308e-06
4.084507e+02, 5.990062e-05, 3.313388e-06
4.114783e+02, 9.401497e-05, 2.952762e-06
4.145058e+02, 9.044530e-05, 2.411555e-06
4.175333e+02, 8.749060e-05, 2.351807e-06
4.205609e+02, 7.584506e-05, 2.868740e-06
4.235884e+02, 5.820136e-05, 3.410747e-06
4.266160e+02, 4.989163e-05, 3.257374e-06
4.296435e+02, 3.320652e-05, 2.584133e-06
4.326710e+02, 2.847362e-05, 2.341937e-06
4.356986e+02, 2.651631e-05, 3.174952e-06
4.387261e+02, 4.184048e-05, 3.125340e-06
4.417536e+02, 6.420139e-05, 2.910084e-06
4.447812e+02, 8.757644e-05, 2.149888e-06
4.478087e+02, 1.047003e-04, 2.268852e-06
4.508363e+02, 1.352572e-04, 2.509447e-06
4.538638e+02, 1.507865e-04, 2.658819e-06
4.568913e+02, 1.191063e-04, 2.783118e-06
4.599189e+02, 9.927778e-05, 2.946360e-06
4.629464e+02, 7.437436e-05, 3.065858e-06
4.659739e+02, 4.713465e-05, 2.396085e-06
4.690015e+02, 3.164093e-05, 2.395018e-06
4.720290e+02, 2.832560e-05, 2.255782e-06
4.750566e+02, 3.565415e-05, 2.483574e-06
4.780841e+02, 3.577799e-05, 2.863672e-06
4.811116e+02, 2.996559e-05, 2.534787e-06
4.841392e+02, 2.775262e-05, 2.570530e-06
4.871667e+02, 2.757881e-05, 2.309929e-06
4.901942e+02, 2.757616e-05, 2.264584e-06
4.932218e+02, 4.189761e-05, 2.294459e-06
4.962493e+02, 4.230263e-05, 1.971709e-06
4.992769e+02, 3.885149e-05, 3.168817e-06
5.023044e+02, 3.180225e-05, 3.243770e-06
5.053319e+02, 2.590427e-05, 2.606806e-06
5.083595e+02, 2.032334e-05, 2.622276e-06
5.113870e+02, 2.147541e-05, 2.577998e-06
5.144145e+02, 2.639034e-05, 2.928489e-06
5.174421e+02, 2.022661e-05, 2.734572e-06
5.204696e+02, 1.108850e-05, 3.034383e-06
5.234972e+02, 1.179383e-05, 3.006909e-06
5.265247e+02, 1.103057e-05, 2.741507e-06
5.295522e+02, 1.168327e-05, 2.181896e-06
5.325798e+02, 9.833062e-06, 2.291524e-06
5.356073e+02, 8.182968e-06, 2.574798e-06
5.386348e+02, 1.039886e-05, 3.216296e-06
5.416624e+02, 9.580326e-06, 3.208828e-06
5.446899e+02, 9.143684e-06, 2.548657e-06
5.477175e+02, 1.078182e-05, 2.780984e-06
5.507450e+02, 1.129978e-05, 2.724703e-06
5.537725e+02, 1.062608e-05, 2.511848e-06
5.568001e+02, 8.967752e-06, 2.481707e-06
5.598276e+02, 1.006746e-05, 3.372870e-06
5.628551e+02, 1.654479e-05, 3.145345e-06
5.658827e+02, 2.507803e-05, 2.739107e-06
5.689102e+02, 2.549527e-05, 2.776716e-06
5.719378e+02, 3.138288e-05, 2.569996e-06
5.749653e+02, 3.540487e-05, 2.174694e-06
5.779928e+02, 2.820175e-05, 2.636147e-06
5.810204e+02, 2.485426e-05, 3.344863e-06
5.840479e+02, 2.288526e-05, 3.146678e-06
